"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"QS11","Nutlin-3","ARFGAP","MDM2/p53",1,-0.35240992246119,28,95
"SrcI1","Nutlin-3","Src","MDM2/p53",1,-0.359819558274482,18,95
"Tanespimycin/17-AAG","Nutlin-3","HSP90","MDM2/p53",1,-0.584542563071651,19,95
"everolimus","Nutlin-3","mTor","MDM2/p53",1,-0.204356742427494,41,95
"nilutamide","Nutlin-3","androgen receptor","MDM2/p53",1,-0.0177184999435493,77,95
"palbociclib/PD332991","Nutlin-3","CDK4/6","MDM2/p53",1,0,85,95
"stibogluconate","Nutlin-3","SHP1/2/PTP1B","MDM2/p53",1,-0.181167741250386,54,95
"temozolomide","Nutlin-3","alkylating agent (tetrazine)","MDM2/p53",1,-0.0239790740418443,75,95
"BID1870","OSI906","RSK (RSK1/2/3/5/, PLK1, ARKB)","IGF1R",1,-0.136332869148285,45,57
"Crizotinib/PF2341066","OSI906","Multi (c-kit, ALK, MET)","IGF1R",1,-0.117845280903863,103,57
"Docetaxel","OSI906","microtubule agent (taxane)","IGF1R",1,-0.759285231525471,10,57
"Dorsomorphin","OSI906","AMPK/BMP antagonist","IGF1R",1,-0.146925432628986,39,57
"Dovitinib/CHIR-258","OSI906","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","IGF1R",1,-0.231123967780668,35,57
"EX527","OSI906","SIRT1","IGF1R",1,-0.117845280903863,100,57
"Embelin","OSI906","XIAP","IGF1R",1,-0.309973767405268,25,57
"FH535","OSI906","bCatenin","IGF1R",1,-0.373232839907794,23,57
"GSK0660","OSI906","PPARd, ant","IGF1R",1,-0.117845280903863,68,57
"GSK650394","OSI906","SGK","IGF1R",1,-0.117845280903863,94,57
"KU55933","OSI906","ATM","IGF1R",1,-0.134392701791194,46,57
"L779450","OSI906","Raf","IGF1R",1,-0.178739416349673,51,57
"LSN415169","OSI906","gamma secretase","IGF1R",1,-0.117845280903863,84,57
"MK1775","OSI906","Wee-1","IGF1R",1,-0.199153973073772,37,57
"MK2206","OSI906","Akt","IGF1R",1,-0.117845280903863,59,57
"NVP-BEZ235","OSI906","PI3K/TORC1/TORC2 dual specificity","IGF1R",1,-0.117845280903863,78,57
"QS11","OSI906","ARFGAP","IGF1R",1,-0.35240992246119,28,57
"SNS314","OSI906","Aurora (pan)","IGF1R",1,-0.165908526560542,55,57
"SrcI1","OSI906","Src","IGF1R",1,-0.359819558274482,18,57
"TCS401","OSI906","PTP-1B","IGF1R",1,-0.117845280903863,107,57
"Tie2i","OSI906","TIE_2","IGF1R",1,-0.171481294117006,48,57
"vatalanib/PTK787","OSI906","VEFGR (1-4), c-kit, PDGFb","IGF1R",1,-0.236697076857935,22,57
"KU0063794","OSU03012","mTOR kinase","PDK1",1,-0.578934971601893,83,9
"LFM-A13","OSU03012","BTK, Plk","PDK1",1,-0.578934971601893,90,9
"PIM-1 4a","OSU03012","PIM","PDK1",1,-0.578934971601893,36,9
"TCS401","OSU03012","PTP-1B","PDK1",1,-0.578934971601893,107,9
"vasastrol","OSU03012","KSP (Eg5, kinesin-5)","PDK1",1,-0.578934971601893,67,9
"AS252424","PD173074","PI3K (gamma)","FGFR1/3",1,-0.084105914053422,62,91
"C75","PD173074","Fatty Acid Synthase","FGFR1/3",1,-0.139812023916423,47,91
"Embelin","PD173074","XIAP","FGFR1/3",1,-0.309973767405268,25,91
"FH535","PD173074","bCatenin","FGFR1/3",1,-0.373232839907794,23,91
"LSN415169","PD173074","gamma secretase","FGFR1/3",1,0,84,91
"NVP-TAE684","PD173074","ALK","FGFR1/3",1,-0.237067984382196,40,91
"TCS401","PD173074","PTP-1B","FGFR1/3",1,0.0342405490538027,107,91
"Tie2i","PD173074","TIE_2","FGFR1/3",1,-0.171481294117006,48,91
"A769662","PF04217903","AMPK agonist","MET",1,-0.0198274866927178,76,87
"CP690550","PF04217903","JAK3","MET",1,-0.0449088428320118,70,87
"Embelin","PF04217903","XIAP","MET",1,-0.309973767405268,25,87
"JZL184","PF04217903","MAGL","MET",1,-0.173135067746411,33,87
"OSU03012","PF04217903","PDK1","MET",1,-0.578934971601893,9,87
"QS11","PF04217903","ARFGAP","MET",1,-0.35240992246119,28,87
"STA4783","PF04217903","HSP70 inducer","MET",1,-1.0220650565735,6,87
"TCS401","PF04217903","PTP-1B","MET",1,0.00389270839162641,107,87
"AS252424","PF562271","PI3K (gamma)","FAK1/2",1,-0.114544222277374,62,64
"C75","PF562271","Fatty Acid Synthase","FAK1/2",1,-0.139812023916423,47,64
"Darinaparsin","PF562271","arsenic","FAK1/2",1,-0.114544222277374,60,64
"Dorsomorphin","PF562271","AMPK/BMP antagonist","FAK1/2",1,-0.146925432628986,39,64
"EX527","PF562271","SIRT1","FAK1/2",1,-0.114544222277374,100,64
"Embelin","PF562271","XIAP","FAK1/2",1,-0.309973767405268,25,64
"GW0742","PF562271","PPARd, agonist","FAK1/2",1,-0.114544222277374,63,64
"GW441756","PF562271","TrkA","FAK1/2",1,-0.114544222277374,82,64
"Indole-3-carbinol","PF562271","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","FAK1/2",1,-0.114544222277374,89,64
"KU0063794","PF562271","mTOR kinase","FAK1/2",1,-0.114544222277374,83,64
"KU55933","PF562271","ATM","FAK1/2",1,-0.134392701791194,46,64
"MK2206","PF562271","Akt","FAK1/2",1,-0.114544222277374,59,64
"Midostaurin/PKC412","PF562271","Multi (FLT3, KIT, etc., broad spectrum)","FAK1/2",1,-0.431452205788562,15,64
"OSU03012","PF562271","PDK1","FAK1/2",1,-0.578934971601893,9,64
"PIM-1 4a","PF562271","PIM","FAK1/2",1,-0.134878915866732,36,64
"SNS-032","PF562271","CDK2/7/9","FAK1/2",1,-0.175159821332344,38,64
"T0901317","PF562271","LXR","FAK1/2",1,-0.119452308490637,56,64
"TCS401","PF562271","PTP-1B","FAK1/2",1,-0.114544222277374,107,64
"Tie2i","PF562271","TIE_2","FAK1/2",1,-0.171481294117006,48,64
"Wnti","PF562271","bCatenin","FAK1/2",1,-0.883746896375641,3,64
"XL147","PF562271","PI3K","FAK1/2",1,-0.114544222277374,61,64
"ZM336372","PF562271","Raf (c-Raf)","FAK1/2",1,-0.163614814537669,43,64
"cisplatin","PF562271","alkylating agent (platinum)","FAK1/2",1,-0.206077530842032,21,64
"gemcitabine","PF562271","Antimetabolite (pyrimidine)","FAK1/2",1,-0.153458455606447,50,64
"vasastrol","PF562271","KSP (Eg5, kinesin-5)","FAK1/2",1,-0.114544222277374,67,64
"vatalanib/PTK787","PF562271","VEFGR (1-4), c-kit, PDGFb","FAK1/2",1,-0.236697076857935,22,64
"vorinostat/SAHA","PF562271","HDAC","FAK1/2",1,-0.114544222277374,96,64
"BID1870","PIM-1 4a","RSK (RSK1/2/3/5/, PLK1, ARKB)","PIM",1,-0.136332869148285,45,36
"AZD7762","PLX4720","Chk1/2","Raf (BRafV600E)",1,-0.235807732191894,27,79
"CHIR265","PLX4720","Raf, VEGFR","Raf (BRafV600E)",1,-0.493657827425881,14,79
"Dorsomorphin","PLX4720","AMPK/BMP antagonist","Raf (BRafV600E)",1,-0.146925432628986,39,79
"Embelin","PLX4720","XIAP","Raf (BRafV600E)",1,-0.309973767405268,25,79
"GSK650394","PLX4720","SGK","Raf (BRafV600E)",1,-0.0159165150286824,94,79
"JZL184","PLX4720","MAGL","Raf (BRafV600E)",1,-0.173135067746411,33,79
"QS11","PLX4720","ARFGAP","Raf (BRafV600E)",1,-0.35240992246119,28,79
"Wnti","PLX4720","bCatenin","Raf (BRafV600E)",1,-0.883746896375641,3,79
"XAV939","PLX4720","tankyrase 1/2","Raf (BRafV600E)",1,-0.0159165150286824,97,79
"decitabine","PLX4720","methyl transferase inhibitor","Raf (BRafV600E)",1,-0.0550348491314658,69,79
"palbociclib/PD332991","PLX4720","CDK4/6","Raf (BRafV600E)",1,-0.0159165150286824,85,79
"temozolomide","PLX4720","alkylating agent (tetrazine)","Raf (BRafV600E)",1,-0.0239790740418443,75,79
"tipifarnib","PLX4720","FTI","Raf (BRafV600E)",1,-0.0374982424838033,72,79
"vasastrol","PLX4720","KSP (Eg5, kinesin-5)","Raf (BRafV600E)",1,-0.0670063725232609,67,79
"C75","Pazopanib","Fatty Acid Synthase","Multi (VEGFR2, FLT1, FLT4)",1,-0.139812023916423,47,102
"Docetaxel","Pazopanib","microtubule agent (taxane)","Multi (VEGFR2, FLT1, FLT4)",1,-0.759285231525471,10,102
"HIF-1i","Pazopanib","HIFa","Multi (VEGFR2, FLT1, FLT4)",1,-0.248500208778964,30,102
"LFM-A13","Pazopanib","BTK, Plk","Multi (VEGFR2, FLT1, FLT4)",1,0.0449394449185826,90,102
"NVP-BEZ235","Pazopanib","PI3K/TORC1/TORC2 dual specificity","Multi (VEGFR2, FLT1, FLT4)",1,-0.0123432674651731,78,102
"PD173074","Pazopanib","FGFR1/3","Multi (VEGFR2, FLT1, FLT4)",1,0.0342405490538027,91,102
"PIM-1 4a","Pazopanib","PIM","Multi (VEGFR2, FLT1, FLT4)",1,-0.134878915866732,36,102
"QS11","Pazopanib","ARFGAP","Multi (VEGFR2, FLT1, FLT4)",1,-0.35240992246119,28,102
"SNS-032","Pazopanib","CDK2/7/9","Multi (VEGFR2, FLT1, FLT4)",1,-0.175159821332344,38,102
"STA4783","Pazopanib","HSP70 inducer","Multi (VEGFR2, FLT1, FLT4)",1,-1.0220650565735,6,102
"T0901317","Pazopanib","LXR","Multi (VEGFR2, FLT1, FLT4)",1,-0.119452308490637,56,102
"XL147","Pazopanib","PI3K","Multi (VEGFR2, FLT1, FLT4)",1,-0.0860101298945154,61,102
"dasatanib","Pazopanib","Multi (BCR-Abl, EAR, PDGFR, c-kit)","Multi (VEGFR2, FLT1, FLT4)",1,-0.323767187413256,34,102
"erlotinib","Pazopanib","EGFR","Multi (VEGFR2, FLT1, FLT4)",1,-0.0580398191535102,65,102
"fludarabine","Pazopanib","Antimetabolite (purine)","Multi (VEGFR2, FLT1, FLT4)",1,-0.759056781003144,11,102
"nilotinib","Pazopanib","Multi (BCR-Abl, PDGFR, c-kit)","Multi (VEGFR2, FLT1, FLT4)",1,-0.0657181891403977,66,102
"selumetinib/AZD6244","Pazopanib","MEK","Multi (VEGFR2, FLT1, FLT4)",1,-0.347994056139782,32,102
"AS252424","Perifosine","PI3K (gamma)","Akt/PI3K",1,-0.266669559019026,62,24
"BID1870","Perifosine","RSK (RSK1/2/3/5/, PLK1, ARKB)","Akt/PI3K",1,-0.266669559019026,45,24
"Bexarotene","Perifosine","RXR","Akt/PI3K",1,-0.302790765494034,29,24
"CX4945","Perifosine","CK2a","Akt/PI3K",1,-0.266669559019026,49,24
"Docetaxel","Perifosine","microtubule agent (taxane)","Akt/PI3K",1,-0.759285231525471,10,24
"ENMD2076","Perifosine","Aurora A, FLT3, c-KIT, FGFR1/3","Akt/PI3K",1,-0.266669559019026,106,24
"GSK0660","Perifosine","PPARd, ant","Akt/PI3K",1,-0.266669559019026,68,24
"GSK650394","Perifosine","SGK","Akt/PI3K",1,-0.266669559019026,94,24
"GW0742","Perifosine","PPARd, agonist","Akt/PI3K",1,-0.266669559019026,63,24
"HIF-1i","Perifosine","HIFa","Akt/PI3K",1,-0.266669559019026,30,24
"JNK5a","Perifosine","JNK","Akt/PI3K",1,-0.266669559019026,86,24
"JZL184","Perifosine","MAGL","Akt/PI3K",1,-0.266669559019026,33,24
"KU0063794","Perifosine","mTOR kinase","Akt/PI3K",1,-0.266669559019026,83,24
"KU55933","Perifosine","ATM","Akt/PI3K",1,-0.266669559019026,46,24
"MK1775","Perifosine","Wee-1","Akt/PI3K",1,-0.266669559019026,37,24
"MK2206","Perifosine","Akt","Akt/PI3K",1,-0.266669559019026,59,24
"PD173074","Perifosine","FGFR1/3","Akt/PI3K",1,-0.266669559019026,91,24
"PIM-1 4a","Perifosine","PIM","Akt/PI3K",1,-0.266669559019026,36,24
"QS11","Perifosine","ARFGAP","Akt/PI3K",1,-0.35240992246119,28,24
"SNS314","Perifosine","Aurora (pan)","Akt/PI3K",1,-0.266669559019026,55,24
"STA4783","Perifosine","HSP70 inducer","Akt/PI3K",1,-1.0220650565735,6,24
"Tanespimycin/17-AAG","Perifosine","HSP90","Akt/PI3K",1,-0.584542563071651,19,24
"VX702","Perifosine","p38","Akt/PI3K",1,-0.266669559019026,74,24
"Veliparib/ABT888","Perifosine","PARP","Akt/PI3K",1,-0.266669559019026,81,24
"XAV939","Perifosine","tankyrase 1/2","Akt/PI3K",1,-0.266669559019026,97,24
"XL147","Perifosine","PI3K","Akt/PI3K",1,-0.266669559019026,61,24
"YM155","Perifosine","survivin/BIRC5","Akt/PI3K",1,-0.699191805816473,7,24
"ZM336372","Perifosine","Raf (c-Raf)","Akt/PI3K",1,-0.266669559019026,43,24
"bivanib/BI2536","Perifosine","Plk1","Akt/PI3K",1,-0.693339666070181,8,24
"cisplatin","Perifosine","alkylating agent (platinum)","Akt/PI3K",1,-0.266669559019026,21,24
"dasatanib","Perifosine","Multi (BCR-Abl, EAR, PDGFR, c-kit)","Akt/PI3K",1,-0.323767187413256,34,24
"palbociclib/PD332991","Perifosine","CDK4/6","Akt/PI3K",1,-0.266669559019026,85,24
"sorafenib","Perifosine","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","Akt/PI3K",1,-0.278916642314896,26,24
"stibogluconate","Perifosine","SHP1/2/PTP1B","Akt/PI3K",1,-0.266669559019026,54,24
"sunitinib","Perifosine","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","Akt/PI3K",1,-0.266669559019026,42,24
"vasastrol","Perifosine","KSP (Eg5, kinesin-5)","Akt/PI3K",1,-0.266669559019026,67,24
"GW441756","QS11","TrkA","ARFGAP",1,-0.35240992246119,82,28
"KU55933","QS11","ATM","ARFGAP",1,-0.35240992246119,46,28
"LSN415169","QS11","gamma secretase","ARFGAP",1,-0.35240992246119,84,28
"A769662","RKI983","AMPK agonist","ROCK",1,-0.402388715854455,76,16
"BID1870","RKI983","RSK (RSK1/2/3/5/, PLK1, ARKB)","ROCK",1,-0.402388715854455,45,16
"CP690550","RKI983","JAK3","ROCK",1,-0.402388715854455,70,16
"EX527","RKI983","SIRT1","ROCK",1,-0.402388715854455,100,16
"FH535","RKI983","bCatenin","ROCK",1,-0.402388715854455,23,16
"GW0742","RKI983","PPARd, agonist","ROCK",1,-0.402388715854455,63,16
"GW9662","RKI983","PPARg","ROCK",1,-0.402388715854455,58,16
"LFM-A13","RKI983","BTK, Plk","ROCK",1,-0.402388715854455,90,16
"MK2206","RKI983","Akt","ROCK",1,-0.402388715854455,59,16
"NVP-BEZ235","RKI983","PI3K/TORC1/TORC2 dual specificity","ROCK",1,-0.402388715854455,78,16
"NVP-TAE684","RKI983","ALK","ROCK",1,-0.402388715854455,40,16
"Nutlin-3","RKI983","MDM2/p53","ROCK",1,-0.402388715854455,95,16
"SNS-032","RKI983","CDK2/7/9","ROCK",1,-0.402388715854455,38,16
"SNS314","RKI983","Aurora (pan)","ROCK",1,-0.402388715854455,55,16
"TCS401","RKI983","PTP-1B","ROCK",1,-0.402388715854455,107,16
"XAV939","RKI983","tankyrase 1/2","ROCK",1,-0.402388715854455,97,16
"cediranib/AZD2171","RKI983","VEGFR (pan)","ROCK",1,-0.402388715854455,73,16
"selumetinib/AZD6244","RKI983","MEK","ROCK",1,-0.402388715854455,32,16
"stibogluconate","RKI983","SHP1/2/PTP1B","ROCK",1,-0.402388715854455,54,16
"sunitinib","RKI983","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","ROCK",1,-0.402388715854455,42,16
"vatalanib/PTK787","RKI983","VEFGR (1-4), c-kit, PDGFb","ROCK",1,-0.402388715854455,22,16
"vorinostat/SAHA","RKI983","HDAC","ROCK",1,-0.402388715854455,96,16
"Embelin","SNS-032","XIAP","CDK2/7/9",1,-0.309973767405268,25,38
"GSK650394","SNS-032","SGK","CDK2/7/9",1,-0.175159821332344,94,38
"GW0742","SNS-032","PPARd, agonist","CDK2/7/9",1,-0.175159821332344,63,38
"GW2580","SNS-032","CSF1R/fms","CDK2/7/9",1,-0.175159821332344,71,38
"JZL184","SNS-032","MAGL","CDK2/7/9",1,-0.175159821332344,33,38
"KU0063794","SNS-032","mTOR kinase","CDK2/7/9",1,-0.175159821332344,83,38
"L779450","SNS-032","Raf","CDK2/7/9",1,-0.178739416349673,51,38
"LSN415169","SNS-032","gamma secretase","CDK2/7/9",1,-0.175159821332344,84,38
"QS11","SNS-032","ARFGAP","CDK2/7/9",1,-0.35240992246119,28,38
"SrcI1","SNS-032","Src","CDK2/7/9",1,-0.359819558274482,18,38
"TCS401","SNS-032","PTP-1B","CDK2/7/9",1,-0.175159821332344,107,38
"Tie2i","SNS-032","TIE_2","CDK2/7/9",1,-0.175159821332344,48,38
"cediranib/AZD2171","SNS-032","VEGFR (pan)","CDK2/7/9",1,-0.175159821332344,73,38
"A769662","SNS314","AMPK agonist","Aurora (pan)",1,-0.165908526560542,76,55
"AS252424","SNS314","PI3K (gamma)","Aurora (pan)",1,-0.165908526560542,62,55
"Embelin","SNS314","XIAP","Aurora (pan)",1,-0.309973767405268,25,55
"GW0742","SNS314","PPARd, agonist","Aurora (pan)",1,-0.165908526560542,63,55
"GW9662","SNS314","PPARg","Aurora (pan)",1,-0.165908526560542,58,55
"HIF-1i","SNS314","HIFa","Aurora (pan)",1,-0.248500208778964,30,55
"KU0063794","SNS314","mTOR kinase","Aurora (pan)",1,-0.165908526560542,83,55
"KU55933","SNS314","ATM","Aurora (pan)",1,-0.165908526560542,46,55
"OSU03012","SNS314","PDK1","Aurora (pan)",1,-0.578934971601893,9,55
"T0901317","SNS314","LXR","Aurora (pan)",1,-0.165908526560542,56,55
"Wnti","SNS314","bCatenin","Aurora (pan)",1,-0.883746896375641,3,55
"XAV939","SNS314","tankyrase 1/2","Aurora (pan)",1,-0.165908526560542,97,55
"cediranib/AZD2171","SNS314","VEGFR (pan)","Aurora (pan)",1,-0.165908526560542,73,55
"pioglitazone","SNS314","PPARg, agonist","Aurora (pan)",1,-0.165908526560542,53,55
"tipifarnib","SNS314","FTI","Aurora (pan)",1,-0.165908526560542,72,55
"vasastrol","SNS314","KSP (Eg5, kinesin-5)","Aurora (pan)",1,-0.165908526560542,67,55
"AS252424","STA4783","PI3K (gamma)","HSP70 inducer",1,-1.0220650565735,62,6
"Dorsomorphin","STA4783","AMPK/BMP antagonist","HSP70 inducer",1,-1.0220650565735,39,6
"LSN415169","STA4783","gamma secretase","HSP70 inducer",1,-1.0220650565735,84,6
"T0901317","STA4783","LXR","HSP70 inducer",1,-1.0220650565735,56,6
"Embelin","SU6656","XIAP","Lyn/Src/Fyn/Yes",1,-0.309973767405268,25,52
"FH535","SU6656","bCatenin","Lyn/Src/Fyn/Yes",1,-0.373232839907794,23,52
"LSN415169","SU6656","gamma secretase","Lyn/Src/Fyn/Yes",1,-0.162576491999702,84,52
"QS11","SU6656","ARFGAP","Lyn/Src/Fyn/Yes",1,-0.35240992246119,28,52
"SrcI1","SU6656","Src","Lyn/Src/Fyn/Yes",1,-0.359819558274482,18,52
"TCS401","SU6656","PTP-1B","Lyn/Src/Fyn/Yes",1,-0.162576491999702,107,52
"U73122","SU6656","PLC","Lyn/Src/Fyn/Yes",1,-0.4406122945847,20,52
"Dorsomorphin","SrcI1","AMPK/BMP antagonist","Src",1,-0.359819558274482,39,18
"LFM-A13","SrcI1","BTK, Plk","Src",1,-0.359819558274482,90,18
"XAV939","SrcI1","tankyrase 1/2","Src",1,-0.359819558274482,97,18
"AS252424","T0901317","PI3K (gamma)","LXR",1,-0.119452308490637,62,56
"BID1870","T0901317","RSK (RSK1/2/3/5/, PLK1, ARKB)","LXR",1,-0.136332869148285,45,56
"FH535","T0901317","bCatenin","LXR",1,-0.373232839907794,23,56
"JZL184","T0901317","MAGL","LXR",1,-0.173135067746411,33,56
"LFM-A13","T0901317","BTK, Plk","LXR",1,-0.119452308490637,90,56
"LSN415169","T0901317","gamma secretase","LXR",1,-0.119452308490637,84,56
"PIM-1 4a","T0901317","PIM","LXR",1,-0.134878915866732,36,56
"C75","TCS401","Fatty Acid Synthase","PTP-1B",1,-0.139812023916423,47,107
"Embelin","TCS401","XIAP","PTP-1B",1,-0.309973767405268,25,107
"JZL184","TCS401","MAGL","PTP-1B",1,-0.173135067746411,33,107
"LSN415169","TCS401","gamma secretase","PTP-1B",1,0,84,107
"QS11","TCS401","ARFGAP","PTP-1B",1,-0.35240992246119,28,107
"Tie2i","TCS401","TIE_2","PTP-1B",1,-0.171481294117006,48,107
"XAV939","TCS401","tankyrase 1/2","PTP-1B",1,0.0877031281185674,97,107
"C75","Tamatinib/R406","Fatty Acid Synthase","Syk",1,-0.39271410785618,47,17
"CP690550","Tamatinib/R406","JAK3","Syk",1,-0.39271410785618,70,17
"EX527","Tamatinib/R406","SIRT1","Syk",1,-0.39271410785618,100,17
"FH535","Tamatinib/R406","bCatenin","Syk",1,-0.39271410785618,23,17
"JZL184","Tamatinib/R406","MAGL","Syk",1,-0.39271410785618,33,17
"KU55933","Tamatinib/R406","ATM","Syk",1,-0.39271410785618,46,17
"SU6656","Tamatinib/R406","Lyn/Src/Fyn/Yes","Syk",1,-0.39271410785618,52,17
"T0901317","Tamatinib/R406","LXR","Syk",1,-0.39271410785618,56,17
"TCS401","Tamatinib/R406","PTP-1B","Syk",1,-0.39271410785618,107,17
"Tie2i","Tamatinib/R406","TIE_2","Syk",1,-0.39271410785618,48,17
"nilutamide","Tamatinib/R406","androgen receptor","Syk",1,-0.39271410785618,77,17
"A769662","Tanespimycin/17-AAG","AMPK agonist","HSP90",1,-0.584542563071651,76,19
"AS252424","Tanespimycin/17-AAG","PI3K (gamma)","HSP90",1,-0.584542563071651,62,19
"BMS536924","Tanespimycin/17-AAG","Multi (IGFR1R, InR, FAK)","HSP90",1,-0.584542563071651,44,19
"Dorsomorphin","Tanespimycin/17-AAG","AMPK/BMP antagonist","HSP90",1,-0.584542563071651,39,19
"GSK0660","Tanespimycin/17-AAG","PPARd, ant","HSP90",1,-0.584542563071651,68,19
"GW0742","Tanespimycin/17-AAG","PPARd, agonist","HSP90",1,-0.584542563071651,63,19
"GW2580","Tanespimycin/17-AAG","CSF1R/fms","HSP90",1,-0.584542563071651,71,19
"GW441756","Tanespimycin/17-AAG","TrkA","HSP90",1,-0.584542563071651,82,19
"GW9662","Tanespimycin/17-AAG","PPARg","HSP90",1,-0.584542563071651,58,19
"HIF-1i","Tanespimycin/17-AAG","HIFa","HSP90",1,-0.584542563071651,30,19
"Midostaurin/PKC412","Tanespimycin/17-AAG","Multi (FLT3, KIT, etc., broad spectrum)","HSP90",1,-0.584542563071651,15,19
"PF04217903","Tanespimycin/17-AAG","MET","HSP90",1,-0.584542563071651,87,19
"QS11","Tanespimycin/17-AAG","ARFGAP","HSP90",1,-0.584542563071651,28,19
"T0901317","Tanespimycin/17-AAG","LXR","HSP90",1,-0.584542563071651,56,19
"YM155","Tanespimycin/17-AAG","survivin/BIRC5","HSP90",1,-0.699191805816473,7,19
"dasatanib","Tanespimycin/17-AAG","Multi (BCR-Abl, EAR, PDGFR, c-kit)","HSP90",1,-0.584542563071651,34,19
"pioglitazone","Tanespimycin/17-AAG","PPARg, agonist","HSP90",1,-0.584542563071651,53,19
"vasastrol","Tanespimycin/17-AAG","KSP (Eg5, kinesin-5)","HSP90",1,-0.584542563071651,67,19
"Bexarotene","Tideglusib/TZDZ-8","RXR","GSK3",1,-0.302790765494034,29,80
"C75","Tideglusib/TZDZ-8","Fatty Acid Synthase","GSK3",1,-0.139812023916423,47,80
"EX527","Tideglusib/TZDZ-8","SIRT1","GSK3",1,-0.010918876482504,100,80
"GW441756","Tideglusib/TZDZ-8","TrkA","GSK3",1,-0.010918876482504,82,80
"KU0063794","Tideglusib/TZDZ-8","mTOR kinase","GSK3",1,-0.010918876482504,83,80
"KU55933","Tideglusib/TZDZ-8","ATM","GSK3",1,-0.134392701791194,46,80
"MK2206","Tideglusib/TZDZ-8","Akt","GSK3",1,-0.112823674737489,59,80
"Nutlin-3","Tideglusib/TZDZ-8","MDM2/p53","GSK3",1,-0.010918876482504,95,80
"OSI906","Tideglusib/TZDZ-8","IGF1R","GSK3",1,-0.117845280903863,57,80
"PF562271","Tideglusib/TZDZ-8","FAK1/2","GSK3",1,-0.114544222277374,64,80
"PIM-1 4a","Tideglusib/TZDZ-8","PIM","GSK3",1,-0.134878915866732,36,80
"TCS401","Tideglusib/TZDZ-8","PTP-1B","GSK3",1,-0.010918876482504,107,80
"VX702","Tideglusib/TZDZ-8","p38","GSK3",1,-0.0237346590445552,74,80
"YM155","Tideglusib/TZDZ-8","survivin/BIRC5","GSK3",1,-0.699191805816473,7,80
"bivanib/BI2536","Tideglusib/TZDZ-8","Plk1","GSK3",1,-0.693339666070181,8,80
"everolimus","Tideglusib/TZDZ-8","mTor","GSK3",1,-0.204356742427494,41,80
"lapatinib","Tideglusib/TZDZ-8","EGFR, HER2, ErbB4","GSK3",1,-0.386420714159345,13,80
"nilutamide","Tideglusib/TZDZ-8","androgen receptor","GSK3",1,-0.0177184999435493,77,80
"palbociclib/PD332991","Tideglusib/TZDZ-8","CDK4/6","GSK3",1,-0.010918876482504,85,80
"sorafenib","Tideglusib/TZDZ-8","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","GSK3",1,-0.278916642314896,26,80
"A769662","Tozasertib/VX680","AMPK agonist","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.0198274866927178,76,92
"AS252424","Tozasertib/VX680","PI3K (gamma)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.084105914053422,62,92
"C75","Tozasertib/VX680","Fatty Acid Synthase","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.139812023916423,47,92
"Crizotinib/PF2341066","Tozasertib/VX680","Multi (c-kit, ALK, MET)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0.0635754419896859,103,92
"FK866","Tozasertib/VX680","NAMPRT","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.562255940352322,12,92
"GW2580","Tozasertib/VX680","CSF1R/fms","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.0395193150580618,71,92
"IPA3","Tozasertib/VX680","PAK","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0.0104066233119734,88,92
"L779450","Tozasertib/VX680","Raf","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.178739416349673,51,92
"LSN415169","Tozasertib/VX680","gamma secretase","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0,84,92
"MK1775","Tozasertib/VX680","Wee-1","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.199153973073772,37,92
"NVP-BEZ235","Tozasertib/VX680","PI3K/TORC1/TORC2 dual specificity","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.0123432674651731,78,92
"OSI906","Tozasertib/VX680","IGF1R","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.117845280903863,57,92
"OSU03012","Tozasertib/VX680","PDK1","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.578934971601893,9,92
"PD173074","Tozasertib/VX680","FGFR1/3","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0.0342405490538027,91,92
"PF04217903","Tozasertib/VX680","MET","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0.00389270839162641,87,92
"Perifosine","Tozasertib/VX680","Akt/PI3K","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.266669559019026,24,92
